t,MTS_F,MTS,Laser,Strain Guage 1,Strain Guage 2,MTS_stress,Comment
0.0,303.517942,0.0,0.0,5.003745e-06,9.158998e-06,6.414827236511436,
0.546,361.642346,8.079105421038281e-05,1.816703597517754e-05,1.255902e-05,2.799101e-05,7.643281829436931,
1.09,421.895353,0.00019918569091435491,-7.55203065455735e-05,1.939245e-05,4.647133e-05,8.916724275173184,
1.633,479.090707,0.0005072167587029757,-7.666737195694616e-05,2.610281e-05,6.327056e-05,10.125543471242699,
2.176,544.61692,0.000453535891297867,-0.00014037600494169828,3.365403e-05,7.968743e-05,11.5104347006971,
2.72,604.915012,0.0005978268258454971,-0.00010481697718804398,3.976298e-05,9.717084e-05,12.784830014273892,
3.267,659.786936,0.0006086978758777541,-7.167608732898603e-05,4.614141e-05,0.000113,13.944543704593341,
3.809,708.925156,0.0005349473776438631,-4.693667656398842e-05,5.136582e-05,0.00013,14.983076023087026,
4.356,761.620172,0.0008431402972939816,-1.7671007689315477e-05,5.780496e-05,0.000144,16.096780938314758,
4.884,801.492042,0.0008210744935062804,3.0164720143224727e-05,6.326772e-05,0.000159,16.9394696965518,
5.43,862.500207,0.001234929703420507,9.195124351968311e-05,6.779514e-05,0.000174,18.22887234574209,
5.977,910.002525,0.000994741540920536,-1.4291814990792535e-05,7.325655e-05,0.00019,19.232830007341637,
6.523,958.305084,0.0008512328903700169,-4.836275788752149e-06,7.859617e-05,0.000204,20.253700697965918,
7.067,1003.503294,0.0009216654254428215,1.8508055421831613e-05,8.40674e-05,0.000219,21.20896122272779,
7.612,1055.439936,0.0011660347610323138,0.0002268399355473389,8.911503e-05,0.000234,22.306637964600743,
8.158,1085.779784,0.0009251452404655972,3.50009959317566e-05,9.241136e-05,0.000241,22.947868206277914,
8.701,1120.990303,0.001073536422171808,0.0001969852330829707,9.538351e-05,0.00025,23.692039686898006,
9.248,1132.860248,0.0013400255121695647,0.00014322816758634133,9.906234e-05,0.000258,23.94291001759461,
9.791,1159.894481,0.0011747208109339686,0.0001692696526019196,0.000103,0.000266,24.514276352724135,
10.335,1179.646056,0.0014391597773524348,0.00028320114954557017,0.0001,0.000254,24.931724298104573,
10.879,1125.23624,0.0016671011489972267,0.00020458066621253273,9.549902e-05,0.000241,23.781777223112954,
11.429,1084.870056,0.0013580989700396197,0.00014081002969196525,8.970996e-05,0.000226,22.928641178334313,
11.974,1039.274141,0.0013482799571070978,0.00023046714238868273,8.390842e-05,0.000215,21.964975190457857,
12.517,1003.606343,0.001414315516608512,0.00026407305876624575,7.936004e-05,0.000202,21.211139155035646,
13.061,954.015673,0.0009483440072837824,0.00033884932288269574,7.546246e-05,0.000189,20.163044342265565,
13.604,908.19756,0.0010174008015336649,0.00028977352433516996,7.099349e-05,0.000178,19.19468221757127,
14.147,867.765361,0.0011692448229524656,0.00030025212187717256,6.618664e-05,0.000166,18.34015095108934,
14.691,825.178796,0.0010290541355634163,0.00014310416051471062,6.084439e-05,0.000153,17.440087332868494,
15.236,787.102231,0.0008162998635913314,0.0001513196290017654,5.680009e-05,0.000142,16.63534220108054,
15.785,740.921836,0.0009533074643706064,0.00013454767258100171,5.147016e-05,0.000128,15.659323275521086,
16.328,702.235029,0.0009217733266837561,0.00010404193299112292,4.719102e-05,0.000118,14.84168072825691,
16.872,658.295948,0.0008379340624149109,0.00019683022424354243,4.247833e-05,0.000105,13.913031793407177,
17.418,621.92613,0.0009695466011434319,5.99884208395751e-05,3.726873e-05,9.352653e-05,13.144358621877291,
17.962,577.53299,0.00046319305236869953,2.4863417836408057e-05,3.206777e-05,8.082655e-05,12.20611318666587,
18.505,532.734095,0.000572901639171017,3.8752209844731155e-05,2.724065e-05,7.020751e-05,11.259292152238798,
19.05,483.336644,0.0006258811485095717,8.026357703049245e-05,2.341967e-05,5.761181e-05,10.215281007457646,
19.594,452.149863,0.0001706997632863503,7.772143206470594e-05,1.792043e-05,4.592498e-05,9.556150905099752,
20.141,416.535201,0.00062310269155335,0.0001534587509853028,1.417763e-05,3.332382e-05,8.803437894754062,
20.684,366.667589,0.0006046785546499222,2.1515226905902938e-05,1.101244e-05,2.179367e-05,7.749489935139258,
21.233,330.62141,0.0002379222364388115,5.2703005388869615e-05,5.822383e-06,1.098814e-05,6.987656847784684,
21.774,292.266291,0.00043459922349956866,0.00013293558065156452,1.136621e-06,-2.048646e-06,6.177024499661958,
22.323,242.583845,0.0004981800297679482,8.971911623253285e-05,-2.524315e-06,-1.395107e-05,5.126990008530265,
22.868,207.15918,0.00024226526138983051,0.0001421741074783613,-6.526906e-06,-2.432902e-05,4.378292569463241,
23.412,171.554178,0.00029883248699209554,-3.51870065389824e-05,-1.084259e-05,-3.60102e-05,3.6257837224388236,
23.957,127.428322,0.0002153439017564315,2.349934004979175e-05,-1.477692e-05,-4.786789e-05,2.693187313020689,
24.499,92.992282,0.00016088075035402,-2.9265668874893225e-05,-1.902931e-05,-6.021664e-05,1.9653843836320957,
25.045,45.433609,0.0001526263054162953,0.0001436311905685905,-2.507566e-05,-7.031805e-05,0.9602356636505234,
25.588,18.43319,-0.00030474007993752845,-6.922694766681242e-05,-2.985365e-05,-7.938902e-05,0.38958398468513017,
26.133,-13.473322,-0.00014550482350905456,-1.798102536795173e-05,-3.553984e-05,-9.112981e-05,-0.28475757433769344,
26.678,-65.332675,-8.071012827944229e-05,-6.175552160866084e-05,-4.026203e-05,-0.000101,-1.3808008194261865,
27.224,-98.648059,-0.00023568328568764603,-9.204424882329601e-05,-4.326359e-05,-0.000113,-2.0849187745948377,
27.768,-146.738077,7.801259725416107e-05,-0.00012310802023485223,-4.772744e-05,-0.000125,-3.1012974283178036,
28.314,-186.503677,-0.00010477210502587072,-3.2799870412624154e-05,-5.206957e-05,-0.000132,-3.9417401786716497,
28.861,-190.615972,-8.731907929162084e-05,-0.00017156378342466494,-4.793491e-05,-0.000121,-4.028653201989954,
29.405,-147.176035,-0.00021987575387894226,-0.00010633606381408854,-4.298654e-05,-0.000107,-3.110553635342455,
29.953,-103.834316,-9.479124023185106e-05,-2.3871361263582525e-06,-3.788168e-05,-9.506895e-05,-2.1945298982072536,
30.495,-62.405443,-0.0002907668692260543,-1.522186802714186e-05,-3.301167e-05,-8.330752e-05,-1.3189340070807474,
31.038,-16.640465,-0.0001927655670738598,-9.533043621820604e-05,-2.83144e-05,-7.023026e-05,-0.35169488632805523,
31.582,26.973367,-0.0001918214312148676,-4.513857402710513e-05,-2.284445e-05,-5.88718e-05,0.570079937126151,
32.127,63.52835,0.00037118026909287855,-6.91959458987946e-05,-1.323896e-05,-3.315699e-05,1.3426665560042288,
32.67,166.870284,0.00035634384845316104,7.84344727260319e-06,-2.364063e-06,-1.231645e-06,3.526790000334143,
33.219,275.649658,0.0006046785546499222,-0.00013808187411895294,8.31183e-06,2.953975e-05,5.82583330073272,
33.762,380.556647,0.0005437952794072072,-7.874449040400732e-06,1.754777e-05,6.117414e-05,8.043034056322997,
34.306,485.96439,0.0005086194748360835,-8.370477327364199e-07,2.884183e-05,8.914315e-05,10.270818207335715,
34.851,574.63474,0.0006065938016780923,-8.835503844547597e-06,4.038282e-05,0.000117,12.144858906554088,
35.395,691.733703,0.0010902071639087552,2.1081202155195395e-06,5.157822e-05,0.000148,14.619736049796067,
35.938,788.335597,0.0010059362946757884,5.685724228431361e-05,6.264046e-05,0.000176,16.66140929206453,
36.481,885.061473,0.0008177025797246309,0.00018421250471800248,7.386516e-05,0.000205,18.70570288390836,
37.027,980.700506,0.0013388116232081403,7.623334720667918e-05,8.450087e-05,0.000233,20.727026136561463,
37.57,1079.662867,0.0012999132258219943,0.0001545438128608601,9.495502e-05,0.00026,22.8185876585893,
38.116,1173.659559,0.0015641633650685855,0.00013916693599451025,0.000106,0.000286,24.80520016660234,
38.66,1239.161623,0.001691864483810209,0.00012633220409394693,0.000116,0.00031,26.18958100888848,
39.206,1302.583387,0.0014971836697083708,0.00018563858604043413,0.000127,0.000339,27.529994878374982,
39.75,1338.497538,0.0016572012101341476,0.00026168592263966725,0.000142,0.000378,28.289037564592807,
40.294,1383.011441,0.001736238869177858,0.00034194949967015966,0.000158,0.000422,29.229835316074094,
40.839,1428.143637,0.0021573774128606314,0.00024978124377545325,0.000177,0.000472,30.183700640267585,
41.383,1464.973957,0.0023045547056056094,0.0003507229999791122,0.000196,0.000522,30.96210648444477,
41.929,1488.214704,0.0024535393441374397,0.0003941564767731672,0.000216,0.000568,31.45329779877067,
42.47,1530.153995,0.0027234273232270316,0.0005400197946286877,0.000236,0.000618,32.339681333180565,
43.018,1544.244321,0.002801278068619695,0.0005005545441228509,0.000258,0.000669,32.637479237319376,
43.56,1572.276842,0.0029146283223062857,0.000618144249675863,0.000281,0.000721,33.22994430885337,
44.105,1591.073605,0.0029688217206062647,0.0004335597237431887,0.000306,0.000774,33.62721237958459,
44.647,1601.093501,0.0030586495037514833,0.0007549860530796102,0.000332,0.000823,33.83898207380521,
45.196,1630.919716,0.0027721717088556933,0.0008425970490966234,0.000358,0.000876,34.46935672343316,
45.739,1642.451532,0.0030312965391541546,0.0009525603197522762,0.000387,0.000935,34.71308072497254,
46.288,1661.811844,0.0037310360871385517,0.000993327644508914,0.000415,0.00099,35.12225935838908,
46.831,1672.013685,0.0033215239021751526,0.0009689292531905704,0.000446,0.001046,35.337874445517464,
47.374,1687.955672,0.0036751702196028404,0.0011822834197120556,0.000477,0.001104,35.67480705562231,
47.916,1706.188887,0.0037059220732921965,0.0013540642155119643,0.000507,0.001162,36.06016458480313,
48.463,1712.47809,0.0037990408442885072,0.0013531961660114302,0.000538,0.001219,36.19308638321316,
49.01,1720.744544,0.004146941420632069,0.0013148779809167457,0.000569,0.001279,36.36779722211496,
49.551,1730.295889,0.004111334011097015,0.001605953579502937,0.000604,0.001337,36.56966412872214,
50.093,1754.143659,0.003973220422597442,0.0015624580991730665,0.000635,0.001396,37.07368482521876,
50.635,1760.727518,0.0041869997563590755,0.0016344132024128913,0.000668,0.001452,37.21283415443552,
51.18,1771.75214,0.004608408053144473,0.0015553896960973845,0.0007,0.001511,37.445838651671615,
51.723,1777.210512,0.004597456077181468,0.001760249378220756,0.000735,0.00157,37.56120090387287,
52.272,1793.424612,0.004764864852616725,0.0019556845229098843,0.00077,0.001633,37.90388460029672,
52.815,1809.292533,0.005218670497017025,0.0018638882882296296,0.000804,0.001691,38.23925183146229,
53.362,1809.535664,0.004962755728638907,0.0018954790896950657,0.000836,0.001751,38.24439038554764,
53.906,1817.393142,0.005037531288662539,0.002032506903706259,0.000868,0.001809,38.410457549658446,
54.453,1812.870262,0.005095986785982596,0.002104431005178066,0.000901,0.001866,38.314866845463854,
54.997,1830.304848,0.005528077305628376,0.002097393603870181,0.000935,0.001923,38.68334541511,
55.542,1841.701412,0.005261830993423058,0.0022203466152658255,0.000967,0.001981,38.92421087653253,
56.087,1853.634153,0.005801283247879246,0.0021504066269379075,0.001001,0.002038,39.17640839562692,
56.629,1853.658305,0.005537545639527525,0.0022597808640036445,0.001034,0.002099,39.176918846199946,
57.175,1861.341889,0.005791464234946915,0.002408496344504028,0.001067,0.002157,39.33931077463897,
57.716,1870.131639,0.005961300788305022,0.002653751330169586,0.001098,0.002214,39.52508143231602,
58.267,1875.984494,0.005711374538803278,0.0025466402221585764,0.001131,0.002269,39.648781050921606,
58.809,1883.247832,0.0055850761361947625,0.002703664176449628,0.001164,0.002327,39.80229111402815,
59.357,1890.007196,0.006546017613367097,0.0028053189733143924,0.001197,0.002386,39.94514972727183,
59.902,1896.946895,0.006346049638455439,0.002781881636800416,0.00123,0.002442,40.09181970620306,
60.445,1899.481254,0.0065216858835180445,0.002893519002921101,0.001261,0.002499,40.14538317936439,
60.99,1907.847537,0.006831308494611648,0.0030169680426026073,0.001292,0.002555,40.32220389613362,
61.531,1915.339514,0.006673368053075348,0.0029192194684902455,0.001323,0.002611,40.48054622607376,
62.078,1918.859278,0.006993915664821771,0.0030605875300038885,0.001355,0.002667,40.5549361544731,
62.62,1926.472016,0.007135589994274869,0.0031334416845120445,0.001387,0.002726,40.71583075841327,
63.165,1933.685439,0.007351905007200287,0.0032289271295694584,0.001419,0.002783,40.86828587201864,
63.707,1937.403251,0.007154715489244851,0.0033972357273672313,0.001452,0.002839,40.946861528932615,
64.257,1942.304514,0.007532666561211214,0.0032897215963739726,0.001483,0.002894,41.05044932732941,
64.798,1951.720608,0.007456326433192976,0.003426966422760189,0.001513,0.00295,41.24945771495465,
65.338,1950.553257,0.007366579575978507,0.0034997275719647323,0.001544,0.003004,41.22478584567396,
65.886,1958.539547,0.007558994464018994,0.0036655560283325337,0.001574,0.00306,41.39357544102078,
66.433,1966.962185,0.007959469920047365,0.0037221652564738065,0.001605,0.003116,41.571587216172034,
66.978,1973.657143,0.008049648382225957,0.003757507271852217,0.001636,0.003172,41.713084613797704,
67.52,1965.894662,0.008196879625591498,0.0038828164176062017,0.001713,0.003354,41.54902520362385,
68.064,1989.059734,0.009221159131239774,0.004039251338307558,0.001874,0.003656,42.038617132925175,
68.605,2013.139365,0.009212284254166243,0.003951857354665568,0.00203,0.003941,42.54753819296566,
69.149,2036.581381,0.010311096542045905,0.004014046901024496,0.002178,0.00422,43.04298331138155,
69.699,2066.616916,0.01069878570101404,0.004302921374091335,0.002326,0.004499,43.67778192233547,
70.244,2082.964659,0.011187011841298155,0.004601902423485724,0.002472,0.004773,44.023290152790885,
70.788,2105.938125,0.01155306680144252,0.00464452985431484,0.002612,0.00504,44.508832504728254,
71.331,2127.006796,0.012318895859548895,0.004967165252598449,0.002752,0.005304,44.9541171678929,
71.876,2153.31647,0.012977039479121865,0.005380294811311513,0.002893,0.005573,45.51017000696671,
72.418,2168.59025,0.013909144349632821,0.005640430645557558,0.003029,0.005836,45.83298011599309,
72.964,2182.583969,0.014022575529250353,0.005853629803239615,0.003148,0.006098,46.128736238974724,
73.506,2202.752573,0.014886163111716484,0.00621442837777826,0.003282,0.006353,46.55499805865198,
74.051,2213.389152,0.015462706417771773,0.006503984889738407,0.003415,0.00662,46.779801298364596,
74.595,2231.669063,0.016044213180913505,0.006983241219330599,0.00355,0.006881,47.16614574374108,
75.14,2247.37275,0.016470719811336847,0.0071841636769335495,0.003682,0.007143,47.498041902556146,
75.681,2257.238073,0.017460255117378313,0.007559347071766821,0.003813,0.0074,47.70654470888244,
76.225,2284.085534,0.01755493845636923,0.007834208745753706,0.003944,0.007666,48.27396363284832,
76.768,2298.045441,0.018600933086771833,0.008231279388707111,0.004077,0.007925,48.569005141935676,
77.314,2307.229675,0.019222390284399635,0.008561975246638346,0.004209,0.008188,48.76311318715197,
77.859,2316.520179,0.019800066553485603,0.00893793368566832,0.004338,0.008447,48.95946724025147,
78.401,2332.718179,0.02039357732969046,0.00916790479977114,0.004469,0.008706,49.3018106644732,
78.946,2346.595969,0.021096688791456503,0.009524673144485971,0.004598,0.008968,49.59511663738529,
79.491,2359.063277,0.021497245173415818,0.009866126615870269,0.004729,0.009231,49.858612186931346,
80.037,2368.360221,0.022042416193645754,0.010322875661984613,0.004858,0.009487,50.05510234891169,
80.58,2388.722042,0.02293273630857341,0.010581058384854347,0.004986,0.009747,50.48544779430803,
81.127,2392.507479,0.023394904299152367,0.010841659245618456,0.005113,0.010001,50.56545270014552,
81.67,2402.055605,0.023704580860866343,0.011195885445367502,0.00524,0.010263,50.7672515734472,
82.217,2421.580154,0.02497765365298588,0.011519109877240807,0.005367,0.010517,51.179901342619004,
82.76,2433.79467,0.025500785844738492,0.01191122023733405,0.005491,0.010774,51.43805415362352,
83.3,2441.930704,0.02589637876961079,0.01229496012010081,0.005615,0.011025,51.610008576338934,
83.844,2450.247073,0.026726409066121348,0.01242913577146736,0.005739,0.01128,51.78577436474192,
84.385,2462.872175,0.026980327661540737,0.012768419119100323,0.005863,0.011536,52.05260487775763,
84.931,2472.343014,0.027863957899525466,0.013026260822523403,0.005987,0.01179,52.25277029654469,
85.472,2485.417345,0.02859547436298896,0.013349826273843141,0.006106,0.012043,52.52909522826146,
